save_1,save_2,save_3
9.96567627,0.065863037,0.434696045
9.956096191,0.040715332,0.380808105
9.974058838,0.053887939,0.374820557
9.938133545,0.033530273,0.425115967
9.905800781,0.073048096,0.474213867
10.02435425,0.020357666,0.337697754
10.00040405,0.075443115,0.30895752
9.872270508,0.082628174,0.50894165
9.923763428,0.045505371,0.469423828
9.981243896,0.088615723,0.477806396
10.01118164,0.032332764,0.428708496
9.977651367,0.053887939,0.440683594
9.999206543,0.032332764,0.354462891
9.992021484,0.063468018,0.335302734
9.958491211,0.046702881,0.480201416
10.03513184,-0.00119751,0.292192383
9.945318604,0.093405762,0.378413086
10.01357666,0.073048096,0.347277832
9.966873779,0.069455566,0.399968262
10.06985962,0.061072998,0.366437988
10.01597168,0.056282959,0.320932617
10.00279907,0.062270508,0.392783203
9.974058838,0.110170898,0.398770752
9.938133545,0.046702881,0.390388184
9.938133545,0.077838135,0.402363281
9.945318604,0.041912842,0.445473633
9.924960938,0.058677979,0.464633789
9.924960938,0.037122803,0.416733398
9.944121094,0.077838135,0.444276123
10.04111938,0.071850586,0.317340088
9.886640625,0.044307861,0.46223877
9.983638916,0.057480469,0.414338379
10.00040405,0.059875488,0.431103516
9.987231445,0.068258057,0.3556604
9.968071289,0.025147705,0.413140869
9.958491211,0.023950195,0.51253418
9.939331055,0.033530273,0.441881104
10.02674927,0.068258057,0.401165771
9.984836426,0.033530273,0.422720947
9.934541016,0.010777588,0.373623047
9.942923584,0.009580078,0.365240479
9.950108643,0.05269043,0.374820557
10.00160156,0.058677979,0.344882813
10.03872437,0.047900391,0.280217285
10.00399658,0.053887939,0.444276123
10.06267456,0.011975098,0.286204834
9.966873779,0.0490979,0.420325928
10.03393433,0.05029541,0.30776001
9.945318604,0.047900391,0.368833008
9.933343506,0.019160156,0.392783203
9.932145996,0.05149292,0.320932617
9.944121094,0.0490979,0.443078613
9.972861328,0.05269043,0.45864624
10.00758911,0.075443115,0.411943359
10.0063916,0.055085449,0.45984375
9.956096191,0.045505371,0.524509277
9.96088623,0.043110352,0.404758301
9.998009033,0.083825684,0.471818848
9.948911133,0.064665527,0.336500244
9.920170898,0.039517822,0.46104126
