Time,X
"6-30",-0.105522
"6-30",-0.069468
"6-30",-0.084157
"6-30",-0.053193
"6-30",-0.000348
"6-30",-0.013111
"6-30",-0.018123
"6-30",-0.023274
"6-30",-0.025465
"6-30",-0.021965
"6-30",-0.01628
"6-30",-0.038438
"6-30",-0.026324
"6-30",-0.019774
"6-30",0.008194
"6-30",-1.81E-05
"6-30",-0.006015
"6-30",-0.01553
"6-30",-0.023772
"6-30",-0.046164
"6-30",-0.078688
"6-30",-0.055961
"6-30",-0.008879
"6-30",-0.021479
"6-30",0.002179
"6-30",-0.003662
"6-30",-0.014149
"6-30",-0.017097
"6-30",-0.020753
"6-30",-0.017685
"6-30",-0.03884
"6-30",-0.015854
"6-30",-0.000282
"6-30",-0.006021
"6-30",0.012762
"6-30",-0.007264
"6-30",-0.036625
"6-30",-0.036631
"6-30",-0.020999
"6-30",-0.010836
"6-30",0.012642
"6-30",-0.009347
"6-30",-0.004124
"6-30",-0.017307
"6-30",-0.008819
"6-30",-0.039812
"6-30",-0.093708
"6-30",-0.120902
"6-30",-0.104754
"6-30",-0.049537
"6-30",-0.045185
"6-30",-0.024192
"6-30",-0.018706
"6-30",-0.038102
"6-30",-0.048991
"6-30",-0.036829
"6-30",-0.060949
"6-30",-0.024451
"6-30",-0.025987
"6-30",-0.002485
"6-30",0.017583
"6-30",0.012222
"6-30",-0.012252
"6-30",-0.012589
"6-30",-0.025375
"6-30",-0.046968
"6-30",-0.076737
"6-30",-0.049321
"6-30",-0.025885
"6-30",-0.034986
"6-30",-0.031222
"6-30",-0.045221
"6-30",-0.094555
"6-30",-0.161903
"6-30",-0.165643
"6-30",-0.052059
"6-30",-0.048121
"6-30",-0.007162
"6-30",0.042952
"6-30",0.035292
"6-30",0.008662
"6-30",-0.005091
"6-30",-0.013567
"6-30",-0.006189
"6-30",-0.013069
"6-30",0.019144
"6-30",0.036319
"6-30",0.026155
"6-30",0.045125
"6-30",0.018958
"6-30",-0.010457
"6-30",-0.020483
"6-30",-0.032999
"6-30",0.002035
"6-30",-0.052053
"6-30",-0.059923
"6-30",-0.023658
"6-30",-0.001753
"6-30",-0.016539
"6-30",-0.064587
"6-30",-0.092279
"6-30",-0.086979
"6-30",-0.059785
"6-30",-0.059911
"6-30",-0.052209
"6-30",-0.057287
"6-30",-0.043895
"6-30",-0.067865
"6-30",-0.055078
"6-30",-0.026041
"6-30",-0.000234
"6-30",0.023376
"6-30",0.001543
"6-30",0.007354
"6-30",0.017403
"6-30",0.024757
"6-30",0.043366
"6-30",0.047466
"6-30",0.027116
"6-30",0.016508
"6-30",0.011952
"6-30",0.027866
"6-30",0.038606
"6-30",0.038798
"6-30",0.024336
"6-30",0.010859
"6-30",0.002851
"6-30",0.005181
"6-30",0.02753
"6-30",0.058782
"6-30",0.03202
"6-30",0.026894
"6-30",0.022103
"6-30",0.020464
"6-30",0.041211
"6-30",0.050228
"6-30",0.054124
"6-30",0.023718
"6-30",0.01215
"6-30",0.033089
"6-30",0.034626
"6-30",0.05799
"6-30",0.083725
"6-30",0.061994
"6-30",0.0427
"6-30",0.042688
"6-30",0.043348
"6-30",0.059713
"6-30",0.021677
"6-30",0.065626
"6-30",0.075999
"6-30",0.062132
"6-30",-0.002425
"6-30",-0.014498
"6-30",-0.006934
"6-30",-0.004136
"6-30",0.0117
"6-30",0.022169
"6-30",0.018603
"6-30",0.043138
"6-30",0.064659
"6-30",0.071929
"6-30",0.090136
"6-30",0.083113
"6-30",0.095965
"6-30",0.054478
"6-30",0.040215
"6-30",0.075068
