Time,X
"6-30",0.036329
"6-30",0.03672
"6-30",-0.000251
"6-30",-0.011136
"6-30",-0.006673
"6-30",-0.00603
"6-30",-0.013659
"6-30",0.004628
"6-30",0.007025
"6-30",0.001077
"6-30",-0.052576
"6-30",-0.075435
"6-30",-0.020766
"6-30",0.016378
"6-30",0.002062
"6-30",0.03192
"6-30",0.031896
"6-30",0.02861
"6-30",0.016571
"6-30",0.041171
"6-30",0.026465
"6-30",0.023479
"6-30",0.025702
"6-30",0.015826
"6-30",0.008022
"6-30",-0.01763
"6-30",0.012684
"6-30",0.00142
"6-30",0.015988
"6-30",0.015345
"6-30",0.014474
"6-30",0.002675
"6-30",-0.010656
"6-30",-0.03805
"6-30",-0.017336
"6-30",-0.015582
"6-30",-0.055321
"6-30",-0.072695
"6-30",-0.053099
"6-30",-0.013311
"6-30",-0.026642
"6-30",-0.010133
"6-30",-0.002816
"6-30",0.014708
"6-30",-0.022653
"6-30",0.010743
"6-30",0.0064
"6-30",0.023119
"6-30",0.023437
"6-30",0.032346
"6-30",0.01797
"6-30",0.019064
"6-30",0.01013
"6-30",0.007577
"6-30",-0.010788
"6-30",0.009884
"6-30",0.015735
"6-30",-8.83E-05
"6-30",-0.010073
"6-30",-0.051963
"6-30",-0.037804
"6-30",-0.035497
"6-30",-0.022647
"6-30",-0.035929
"6-30",-0.056487
"6-30",-0.016741
"6-30",0.007565
"6-30",-0.018886
"6-30",0.008857
"6-30",-0.005627
"6-30",-0.031856
"6-30",-0.026822
"6-30",-0.003356
"6-30",-0.01593
"6-30",-0.008535
"6-30",0.004399
"6-30",0.046945
"6-30",0.024903
"6-30",0.010761
"6-30",0.007499
"6-30",0.017129
"6-30",0.01287
"6-30",0.01922
"6-30",0.018745
"6-30",0.020079
"6-30",0.00369
"6-30",0.006682
"6-30",0.013987
"6-30",0.025858
"6-30",0.028808
"6-30",0.017502
"6-30",-0.013431
"6-30",-0.024154
"6-30",0.023299
"6-30",0.015177
"6-30",0.027516
"6-30",0.030544
"6-30",0.034851
"6-30",0.041784
"6-30",0.028471
"6-30",0.03368
"6-30",0.031187
"6-30",0.041063
"6-30",0.01132
"6-30",0.006093
"6-30",-0.000503
"6-30",0.015297
"6-30",0.017442
"6-30",0.023713
"6-30",0.023882
"6-30",0.027961
"6-30",0.000807
"6-30",7.79E-06
"6-30",0.007259
"6-30",0.0341
"6-30",0.028646
"6-30",0.015886
"6-30",-0.013882
"6-30",-0.005928
"6-30",0.013591
"6-30",0.024116
"6-30",0.031788
"6-30",0.026813
"6-30",0.034605
"6-30",0.02614
"6-30",0.013909
"6-30",0.013909
"6-30",0.018361
"6-30",0.012606
"6-30",0.002939
"6-30",0.011194
"6-30",0.017033
"6-30",0.002567
"6-30",0.027997
"6-30",0.009878
"6-30",0.018271
"6-30",0.031217
"6-30",0.023984
"6-30",0.01001
"6-30",0.013068
"6-30",0.031211
"6-30",0.025978
"6-30",0.027642
"6-30",0.018012
"6-30",-0.002455
"6-30",0.000242
"6-30",0.03401
"6-30",0.02751
"6-30",0.036251
"6-30",0.027318
"6-30",0.025618
"6-30",0.008118
"6-30",0.014936
"6-30",0.006802
"6-30",0.020866
"6-30",0.004567
"6-30",0.000861
"6-30",0.004141
"6-30",0.00977
"6-30",-0.007502
"6-30",-0.001638
"6-30",0.015357
"6-30",0.013152
"6-30",0.012401
"6-30",0.009782
"6-30",0.000705
"6-30",-0.002575
"6-30",0.012876
"6-30",0.004868
"6-30",0.022338
"6-30",9.19E-05
"6-30",-0.021223
"6-30",-0.002672
"6-30",0.025131
"6-30",0.027817
"6-30",0.02611
"6-30",0.028021
"6-30",0.010251
"6-30",0.00667
"6-30",0.009602
"6-30",0.012479
"6-30",0.016048
"6-30",0.012047
"6-30",0.01421
"6-30",0.015345
"6-30",0.012774
"6-30",0.00199
"6-30",-0.003699
"6-30",0.017484
"6-30",-0.005183
"6-30",-0.010139
"6-30",-0.013119
"6-30",-0.023788
"6-30",-0.019378
"6-30",-0.037906
"6-30",-0.023199
"6-30",-0.04947
"6-30",-0.106938
"6-30",-0.089066
"6-30",-0.040387
"6-30",-0.026083
"6-30",-0.010926
"6-30",-0.007724
"6-30",0.010179
"6-30",0.033193
"6-30",0.025317
"6-30",-0.009118
"6-30",0.005925
"6-30",0.012485
"6-30",0.027498
"6-30",0.01266
"6-30",0.016871
"6-30",0.017628
"6-30",0.01937
"6-30",-0.005585
"6-30",0.009229
"6-30",0.005451
"6-30",0.012509
"6-30",0.003943
"6-30",0.026591
"6-30",0.022704
"6-30",0.020746
"6-30",0.028513
"6-30",-0.025752
"6-30",-0.05293
"6-30",-0.048737
"6-30",-0.021001
"6-30",-0.02082
"6-30",-0.015858
"6-30",-0.020099
"6-30",-0.014218
"6-30",-0.029375
"6-30",0.004375
"6-30",-0.003116
"6-30",-0.003525
"6-30",-0.004342
"6-30",-0.012127
"6-30",0.018108
"6-30",0.038961
"6-30",0.035716
"6-30",0.026026
"6-30",0.033758
"6-30",0.062456
"6-30",0.082761
"6-30",0.057121
"6-30",0.039165
"6-30",-0.015095
"6-30",-0.023199
"6-30",-0.040411
"6-30",-0.032187
"6-30",-0.066922
"6-30",-0.0416
"6-30",-0.036518
"6-30",0.001498
"6-30",-0.040405
"6-30",-0.031778
"6-30",-0.038512
"6-30",-0.02502
"6-30",-0.039281
"6-30",-0.038128
"6-30",-0.006048
"6-30",-0.012728
"6-30",-0.002816
"6-30",0.016871
"6-30",0.007673
"6-30",-0.005814
"6-30",-0.018796
"6-30",-0.028702
